IPs, Network Size,  \% links occluded, Occlusion per node, 
1, 200, 0.98978125, 158.365, 
1, 400, 0.96390625, 154.225, 
1, 600, 0.957291666667, 153.166666667, 
1, 800, 0.9513046875, 152.20875, 
1, 1000, 0.93490625, 149.585, 
1, 1200, 0.940916666667, 150.546666667, 
1, 1400, 0.918767857143, 147.002857143, 
1, 1600, 0.91652734375, 146.644375, 
1, 1800, 0.904854166667, 144.776666667, 
1, 2000, 0.88636875, 141.819, 
1, 2200, 0.871014204545, 139.362272727, 
1, 2400, 0.872921875, 139.6675, 
1, 2600, 0.853180288462, 136.508846154, 
1, 2800, 0.85246875, 136.395, 
1, 3000, 0.84551875, 135.283, 
1, 3200, 0.851302734375, 136.2084375, 
1, 3400, 0.832044117647, 133.127058824, 
1, 3600, 0.820119791667, 131.219166667, 
1, 3800, 0.823416118421, 131.746578947, 
1, 4000, 0.8118078125, 129.88925, 
1, 4200, 0.800294642857, 128.047142857, 
1, 4400, 0.788886363636, 126.221818182, 
1, 4600, 0.78315625, 125.305, 
1, 4800, 0.769305989583, 123.088958333, 
1, 5000, 0.76820625, 122.913, 
3, 200, 0.98609375, 157.775, 
3, 400, 0.98759375, 158.015, 
3, 600, 0.9850625, 157.61, 
3, 800, 0.9860234375, 157.76375, 
3, 1000, 0.977175, 156.348, 
3, 1200, 0.971802083333, 155.488333333, 
3, 1400, 0.971397321429, 155.423571429, 
3, 1600, 0.9738203125, 155.81125, 
3, 1800, 0.973541666667, 155.766666667, 
3, 2000, 0.961584375, 153.8535, 
3, 2200, 0.956326704545, 153.012272727, 
3, 2400, 0.955309895833, 152.849583333, 
3, 2600, 0.951024038462, 152.163846154, 
3, 2800, 0.949080357143, 151.852857143, 
3, 3000, 0.946554166667, 151.448666667, 
3, 3200, 0.94076171875, 150.521875, 
3, 3400, 0.936134191176, 149.781470588, 
3, 3600, 0.927206597222, 148.353055556, 
3, 3800, 0.928748355263, 148.599736842, 
3, 4000, 0.921821875, 147.4915, 
3, 4200, 0.926985119048, 148.317619048, 
3, 4400, 0.9159375, 146.55, 
3, 4600, 0.92008423913, 147.213478261, 
3, 4800, 0.909989583333, 145.598333333, 
3, 5000, 0.90923125, 145.477, 
5, 200, 0.9909375, 158.55, 
5, 400, 0.9838125, 157.41, 
5, 600, 0.993354166667, 158.936666667, 
5, 800, 0.9923359375, 158.77375, 
5, 1000, 0.99074375, 158.519, 
5, 1200, 0.98725, 157.96, 
5, 1400, 0.985959821429, 157.753571429, 
5, 1600, 0.9745078125, 155.92125, 
5, 1800, 0.977190972222, 156.350555556, 
5, 2000, 0.972115625, 155.5385, 
5, 2200, 0.97803125, 156.485, 
5, 2400, 0.9692265625, 155.07625, 
5, 2600, 0.966305288462, 154.608846154, 
5, 2800, 0.971073660714, 155.371785714, 
5, 3000, 0.961395833333, 153.823333333, 
5, 3200, 0.964482421875, 154.3171875, 
5, 3400, 0.959726102941, 153.556176471, 
5, 3600, 0.957720486111, 153.235277778, 
5, 3800, 0.958120065789, 153.299210526, 
5, 4000, 0.9500125, 152.002, 
5, 4200, 0.954983630952, 152.797380952, 
5, 4400, 0.948008522727, 151.681363636, 
5, 4600, 0.946845108696, 151.495217391, 
5, 4800, 0.94387109375, 151.019375, 
5, 5000, 0.9413325, 150.6132, 
7, 200, 0.9996875, 159.95, 
7, 400, 0.99740625, 159.585, 
7, 600, 0.99946875, 159.915, 
7, 800, 0.9903359375, 158.45375, 
7, 1000, 0.98661875, 157.859, 
7, 1200, 0.986302083333, 157.808333333, 
7, 1400, 0.986361607143, 157.817857143, 
7, 1600, 0.98638671875, 157.821875, 
7, 1800, 0.983892361111, 157.422777778, 
7, 2000, 0.979884375, 156.7815, 
7, 2200, 0.984889204545, 157.582272727, 
7, 2400, 0.9792109375, 156.67375, 
7, 2600, 0.97690625, 156.305, 
7, 2800, 0.980258928571, 156.841428571, 
7, 3000, 0.9782625, 156.522, 
7, 3200, 0.9742421875, 155.87875, 
7, 3400, 0.975036764706, 156.005882353, 
7, 3600, 0.97171875, 155.475, 
7, 3800, 0.972139802632, 155.542368421, 
7, 4000, 0.9667453125, 154.67925, 
7, 4200, 0.96277827381, 154.04452381, 
7, 4400, 0.964788352273, 154.366136364, 
7, 4600, 0.962724184783, 154.035869565, 
7, 4800, 0.960440104167, 153.670416667, 
7, 5000, 0.9553175, 152.8508, 
9, 200, 0.99984375, 159.975, 
9, 400, 0.997359375, 159.5775, 
9, 600, 0.998114583333, 159.698333333, 
9, 800, 0.995046875, 159.2075, 
9, 1000, 0.99470625, 159.153, 
9, 1200, 0.989390625, 158.3025, 
9, 1400, 0.993200892857, 158.912142857, 
9, 1600, 0.9882578125, 158.12125, 
9, 1800, 0.985395833333, 157.663333333, 
9, 2000, 0.98478125, 157.565, 
9, 2200, 0.98625, 157.8, 
9, 2400, 0.984236979167, 157.477916667, 
9, 2600, 0.978644230769, 156.583076923, 
9, 2800, 0.9741875, 155.87, 
9, 3000, 0.9785375, 156.566, 
9, 3200, 0.9764609375, 156.23375, 
9, 3400, 0.976992647059, 156.318823529, 
9, 3600, 0.974625, 155.94, 
9, 3800, 0.979085526316, 156.653684211, 
9, 4000, 0.9758359375, 156.13375, 
9, 4200, 0.972848214286, 155.655714286, 
9, 4400, 0.970184659091, 155.229545455, 
9, 4600, 0.973866847826, 155.818695652, 
9, 4800, 0.964470052083, 154.315208333, 
9, 5000, 0.96767125, 154.8274, 
