IPs, Network Size, % Regions covered, Sybils/Region, 
13, 100, 1.0, 2122.11, 
13, 300, 1.0, 709.843333333, 
13, 400, 0.9925, 530.09, 
13, 500, 0.998, 423.858, 
13, 600, 0.998333333333, 354.925, 
13, 700, 0.997142857143, 304.197142857, 
13, 800, 0.99625, 266.195, 
13, 900, 0.997777777778, 236.642222222, 
13, 1000, 0.998, 212.246, 
13, 2000, 0.9915, 106.496, 
13, 3000, 0.987666666667, 70.9823333333, 
13, 4000, 0.98575, 53.225, 
13, 5000, 0.9772, 42.5978, 
13, 10000, 0.9556, 21.296, 
13, 15000, 0.936466666667, 14.1986, 
13, 20000, 0.9156, 10.64915, 
13, 25000, 0.89416, 8.5196, 
13, 50000, 0.80918, 4.25966, 
13, 75000, 0.736386666667, 2.83986666667, 
13, 100000, 0.67777, 2.12992, 
13, 500000, 0.299336, 0.425984, 
15, 50, 1.0, 4266.78, 
15, 100, 1.0, 2449.4, 
15, 300, 0.993333333333, 809.673333333, 
15, 400, 1.0, 614.1525, 
15, 500, 0.998, 489.974, 
15, 600, 1.0, 408.716666667, 
15, 700, 0.997142857143, 350.105714286, 
15, 800, 1.0, 306.7, 
15, 900, 0.994444444444, 272.473333333, 
15, 1000, 0.998, 245.711, 
15, 2000, 0.992, 122.878, 
15, 3000, 0.987666666667, 81.887, 
15, 4000, 0.98575, 61.40475, 
15, 5000, 0.979, 49.1376, 
15, 10000, 0.964, 24.5745, 
15, 15000, 0.941066666667, 16.3835333333, 
15, 20000, 0.9276, 12.2877, 
15, 25000, 0.90392, 9.82988, 
15, 50000, 0.8311, 4.91514, 
15, 75000, 0.766986666667, 3.27678666667, 
15, 100000, 0.71048, 2.45759, 
15, 500000, 0.330256, 0.49152, 
17, 50, 1.0, 5558.62, 
17, 100, 1.0, 2746.45, 
17, 300, 1.0, 928.24, 
17, 400, 1.0, 696.1275, 
17, 500, 0.996, 555.294, 
17, 600, 0.998333333333, 464.126666667, 
17, 700, 0.998571428571, 396.464285714, 
17, 800, 0.99625, 347.84875, 
17, 900, 0.997777777778, 308.873333333, 
17, 1000, 0.998, 278.465, 
17, 2000, 0.993, 139.189, 
17, 3000, 0.992666666667, 92.841, 
17, 4000, 0.98425, 69.6155, 
17, 5000, 0.9868, 55.6936, 
17, 10000, 0.9673, 27.8527, 
17, 15000, 0.948733333333, 18.564, 
17, 20000, 0.93295, 13.9256, 
17, 25000, 0.9156, 11.14072, 
17, 50000, 0.84674, 5.57056, 
17, 75000, 0.788266666667, 3.7136, 
17, 100000, 0.73606, 2.78523, 
17, 500000, 0.357724, 0.557056, 
19, 50, 1.0, 6088.86, 
19, 100, 1.0, 3105.94, 
19, 300, 1.0, 1036.24333333, 
19, 400, 0.9975, 771.175, 
19, 500, 1.0, 618.97, 
19, 600, 0.996666666667, 517.848333333, 
19, 700, 0.998571428571, 444.537142857, 
19, 800, 0.99875, 389.02375, 
19, 900, 0.993333333333, 345.771111111, 
19, 1000, 0.996, 310.353, 
19, 2000, 0.9935, 155.5495, 
19, 3000, 0.992666666667, 103.748333333, 
19, 4000, 0.98775, 77.81475, 
19, 5000, 0.9858, 62.2458, 
19, 10000, 0.9703, 31.1234, 
19, 15000, 0.9538, 20.7528666667, 
19, 20000, 0.93785, 15.56425, 
19, 25000, 0.92716, 12.4516, 
19, 50000, 0.86272, 6.2259, 
19, 75000, 0.80488, 4.15053333333, 
19, 100000, 0.75868, 3.11293, 
19, 500000, 0.384306, 0.622592, 
