IPs, Network Size, % Regions covered, Sybils/Region, 
1, 50, 1.0, 284.96, 
1, 100, 0.99, 162.23, 
1, 300, 0.976666666667, 54.38, 
1, 400, 0.985, 40.9525, 
1, 500, 0.974, 32.74, 
1, 600, 0.963333333333, 27.2866666667, 
1, 700, 0.96, 23.3871428571, 
1, 800, 0.94625, 20.47375, 
1, 900, 0.944444444444, 18.1833333333, 
1, 1000, 0.941, 16.378, 
1, 2000, 0.895, 8.184, 
1, 3000, 0.839333333333, 5.45933333333, 
1, 4000, 0.799, 4.094, 
1, 5000, 0.7748, 3.2762, 
1, 10000, 0.618, 1.6383, 
1, 15000, 0.5206, 1.09226666667, 
1, 20000, 0.45325, 0.8192, 
1, 25000, 0.397, 0.65536, 
1, 50000, 0.24912, 0.32766, 
1, 75000, 0.179693333333, 0.218453333333, 
1, 100000, 0.14085, 0.16384, 
1, 500000, 0.031734, 0.032768, 
1, 1000000, 0.016121, 0.016384, 
1, 5000000, 0.0032654, 0.0032768, 
1, 10000000, 0.0016364, 0.0016384, 
1, 20000000, 0.00081865, 0.0008192, 
3, 50, 1.0, 974.78, 
3, 100, 1.0, 488.29, 
3, 300, 0.996666666667, 163.55, 
3, 400, 0.9925, 122.395, 
3, 500, 0.996, 98.096, 
3, 600, 0.985, 81.85, 
3, 700, 0.984285714286, 70.13, 
3, 800, 0.97375, 61.44, 
3, 900, 0.985555555556, 54.6022222222, 
3, 1000, 0.981, 49.114, 
3, 2000, 0.961, 24.5635, 
3, 3000, 0.940333333333, 16.3826666667, 
3, 4000, 0.925, 12.28675, 
3, 5000, 0.91, 9.8292, 
3, 10000, 0.8313, 4.9145, 
3, 15000, 0.764133333333, 3.27666666667, 
3, 20000, 0.71495, 2.45735, 
3, 25000, 0.65996, 1.96604, 
3, 50000, 0.49476, 0.98304, 
3, 75000, 0.397133333333, 0.65536, 
3, 100000, 0.32967, 0.49151, 
3, 500000, 0.089582, 0.098304, 
3, 1000000, 0.046918, 0.049152, 
3, 5000000, 0.0097308, 0.0098304, 
3, 10000000, 0.0048899, 0.0049152, 
3, 20000000, 0.00245155, 0.0024576, 
5, 50, 1.0, 1615.24, 
5, 100, 0.99, 818.31, 
5, 300, 1.0, 270.566666667, 
5, 400, 0.99, 204.405, 
5, 500, 0.988, 163.626, 
5, 600, 0.995, 136.458333333, 
5, 700, 0.99, 116.891428571, 
5, 800, 0.9925, 102.37, 
5, 900, 0.984444444444, 90.7955555556, 
5, 1000, 0.99, 81.68, 
5, 2000, 0.9755, 40.953, 
5, 3000, 0.958, 27.306, 
5, 4000, 0.94975, 20.47975, 
5, 5000, 0.9444, 16.381, 
5, 10000, 0.8887, 8.1918, 
5, 15000, 0.846866666667, 5.4612, 
5, 20000, 0.80345, 4.09555, 
5, 25000, 0.76636, 3.27668, 
5, 50000, 0.62268, 1.6384, 
5, 75000, 0.52152, 1.09225333333, 
5, 100000, 0.44969, 0.81918, 
5, 500000, 0.140888, 0.16384, 
5, 1000000, 0.075798, 0.08192, 
5, 5000000, 0.0161208, 0.016384, 
5, 10000000, 0.0081223, 0.008192, 
5, 20000000, 0.0040801, 0.004096, 
7, 50, 1.0, 2276.92, 
7, 100, 1.0, 1143.08, 
7, 300, 1.0, 380.346666667, 
7, 400, 0.995, 286.645, 
7, 500, 0.994, 229.13, 
7, 600, 0.998333333333, 190.491666667, 
7, 700, 0.994285714286, 163.608571429, 
7, 800, 0.9925, 142.6575, 
7, 900, 0.996666666667, 127.35, 
7, 1000, 0.987, 114.579, 
7, 2000, 0.9895, 57.3005, 
7, 3000, 0.975666666667, 38.219, 
7, 4000, 0.96425, 28.6705, 
7, 5000, 0.9542, 22.9296, 
7, 10000, 0.9232, 11.4667, 
7, 15000, 0.883733333333, 7.64533333333, 
7, 20000, 0.85055, 5.7344, 
7, 25000, 0.82064, 4.58728, 
7, 50000, 0.69672, 2.29376, 
7, 75000, 0.6056, 1.52913333333, 
7, 100000, 0.53531, 1.14685, 
7, 500000, 0.186746, 0.229376, 
7, 1000000, 0.10282, 0.114687, 
7, 5000000, 0.0224218, 0.0229376, 
7, 10000000, 0.011341, 0.0114688, 
7, 20000000, 0.00570045, 0.0057344, 
9, 50, 1.0, 2899.44, 
9, 100, 0.99, 1467.3, 
9, 300, 1.0, 487.763333333, 
9, 400, 0.9925, 365.71, 
9, 500, 0.994, 294.136, 
9, 600, 0.996666666667, 245.485, 
9, 700, 0.997142857143, 210.385714286, 
9, 800, 0.9925, 184.195, 
9, 900, 0.991111111111, 163.767777778, 
9, 1000, 0.996, 147.336, 
9, 2000, 0.983, 73.6275, 
9, 3000, 0.982333333333, 49.146, 
9, 4000, 0.97775, 36.8585, 
9, 5000, 0.9714, 29.4818, 
9, 10000, 0.9378, 14.7452, 
9, 15000, 0.9084, 9.8304, 
9, 20000, 0.87875, 7.3725, 
9, 25000, 0.85688, 5.89816, 
9, 50000, 0.74628, 2.94904, 
9, 75000, 0.663773333333, 1.96606666667, 
9, 100000, 0.59798, 1.47455, 
9, 500000, 0.227986, 0.294912, 
9, 1000000, 0.128513, 0.147455, 
9, 5000000, 0.0286554, 0.0294912, 
9, 10000000, 0.0145347, 0.0147456, 
9, 20000000, 0.0073178, 0.0073728, 
11, 50, 1.0, 3583.44, 
11, 100, 1.0, 1791.32, 
