IPs, Network Size, % Regions covered, Sybils/Region, 
11, 300, 1.0, 597.996666667, 
11, 400, 1.0, 450.245, 
11, 500, 0.998, 358.548, 
11, 600, 0.996666666667, 299.1, 
11, 700, 0.997142857143, 257.444285714, 
11, 800, 0.99375, 224.96, 
11, 900, 0.998888888889, 200.162222222, 
11, 1000, 0.994, 180.223, 
11, 2000, 0.989, 90.1005, 
11, 3000, 0.985, 60.0723333333, 
11, 4000, 0.9775, 45.0475, 
11, 5000, 0.9708, 36.0428, 
11, 10000, 0.9484, 18.0224, 
11, 15000, 0.921266666667, 12.0140666667, 
11, 20000, 0.89685, 9.01105, 
11, 25000, 0.87988, 7.20844, 
11, 50000, 0.78264, 3.60436, 
11, 75000, 0.70664, 2.40290666667, 
11, 100000, 0.64243, 1.80224, 
11, 500000, 0.264944, 0.360446, 
11, 1000000, 0.152872, 0.180224, 
11, 5000000, 0.0347646, 0.0360448, 
11, 10000000, 0.0177117, 0.0180224, 
11, 20000000, 0.008932, 0.0090112, 
13, 50, 1.0, 4242.56, 
13, 100, 1.0, 2116.71, 
13, 300, 1.0, 708.043333333, 
13, 400, 1.0, 531.085, 
13, 500, 1.0, 423.826, 
13, 600, 1.0, 353.96, 
13, 700, 0.995714285714, 304.134285714, 
13, 800, 0.995, 266.115, 
13, 900, 0.996666666667, 236.192222222, 
13, 1000, 0.995, 212.426, 
13, 2000, 0.9935, 106.398, 
13, 3000, 0.985, 70.9303333333, 
13, 4000, 0.9815, 53.2375, 
13, 5000, 0.9756, 42.5976, 
13, 10000, 0.9534, 21.2983, 
13, 15000, 0.934066666667, 14.1992, 
13, 20000, 0.9132, 10.64815, 
13, 25000, 0.89172, 8.51948, 
13, 50000, 0.80766, 4.25978, 
13, 75000, 0.74128, 2.83986666667, 
13, 100000, 0.68083, 2.12992, 
13, 500000, 0.29843, 0.425984, 
13, 1000000, 0.175309, 0.212992, 
13, 5000000, 0.0408464, 0.0425984, 
13, 10000000, 0.0208471, 0.0212992, 
13, 20000000, 0.01053855, 0.01064955, 
15, 50, 1.0, 4848.64, 
15, 100, 1.0, 2428.89, 
15, 300, 1.0, 817.4, 
15, 400, 0.995, 614.02, 
15, 500, 1.0, 491.322, 
15, 600, 0.998333333333, 408.33, 
15, 700, 0.991428571429, 350.945714286, 
15, 800, 0.9975, 306.85, 
15, 900, 0.994444444444, 272.208888889, 
15, 1000, 0.998, 245.553, 
15, 2000, 0.993, 122.82, 
15, 3000, 0.988666666667, 81.8703333333, 
15, 4000, 0.98325, 61.4375, 
15, 5000, 0.9788, 49.1368, 
15, 10000, 0.962, 24.5753, 
15, 15000, 0.942333333333, 16.3837333333, 
15, 20000, 0.92475, 12.28725, 
15, 25000, 0.90548, 9.82972, 
15, 50000, 0.8306, 4.91518, 
15, 75000, 0.764933333333, 3.27678666667, 
15, 100000, 0.70952, 2.45759, 
15, 500000, 0.329644, 0.49152, 
15, 1000000, 0.197172, 0.24576, 
15, 5000000, 0.0468292, 0.049152, 
15, 10000000, 0.0239799, 0.024576, 
15, 20000000, 0.01214355, 0.012288, 
17, 50, 1.0, 5472.62, 
17, 100, 1.0, 2784.87, 
17, 300, 1.0, 927.296666667, 
17, 400, 1.0, 695.8925, 
17, 500, 1.0, 555.208, 
17, 600, 1.0, 463.938333333, 
17, 700, 0.998571428571, 397.75, 
17, 800, 0.99625, 348.06, 
17, 900, 1.0, 308.473333333, 
17, 1000, 0.998, 277.506, 
17, 2000, 0.992, 139.2255, 
17, 3000, 0.988666666667, 92.84, 
17, 4000, 0.9855, 69.6265, 
17, 5000, 0.9824, 55.7018, 
17, 10000, 0.9659, 27.8527, 
17, 15000, 0.9484, 18.5684, 
17, 20000, 0.9339, 13.9263, 
17, 25000, 0.91848, 11.14112, 
17, 50000, 0.84538, 5.57054, 
17, 75000, 0.789373333333, 3.71370666667, 
17, 100000, 0.73573, 2.78527, 
17, 500000, 0.357114, 0.557056, 
17, 1000000, 0.217714, 0.278528, 
17, 5000000, 0.0527646, 0.0557056, 
17, 10000000, 0.0271007, 0.0278528, 
17, 20000000, 0.01373555, 0.0139264, 
19, 50, 1.0, 6034.18, 
19, 100, 1.0, 3107.34, 
19, 300, 1.0, 1031.39666667, 
19, 400, 1.0, 777.7875, 
19, 500, 1.0, 620.86, 
19, 600, 1.0, 518.568333333, 
19, 700, 0.995714285714, 444.598571429, 
19, 800, 0.9975, 388.90375, 
19, 900, 0.998888888889, 345.058888889, 
19, 1000, 0.998, 310.961, 
19, 2000, 0.9975, 155.621, 
19, 3000, 0.992, 103.743666667, 
19, 4000, 0.98875, 77.80925, 
19, 5000, 0.9834, 62.2452, 
19, 10000, 0.9691, 31.1286, 
19, 15000, 0.953933333333, 20.7518, 
19, 20000, 0.9401, 15.56325, 
19, 25000, 0.9218, 12.45164, 
19, 50000, 0.8602, 6.22582, 
19, 75000, 0.806106666667, 4.15052, 
19, 100000, 0.75546, 3.1129, 
19, 500000, 0.383276, 0.622592, 
19, 1000000, 0.237493, 0.311296, 
19, 5000000, 0.058562, 0.0622592, 
19, 10000000, 0.0301911, 0.0311296, 
19, 20000000, 0.01532465, 0.0155648, 
